ESCrE,Category,No. chromosomal,No. plasmidic,Proportion plasmidic
blaCMY-4,ampC-like,0,3,100
blaKPC-2,Carbapenemase,0,3,100
blaKPC-3,Carbapenemase,0,3,100
blaCTX-M-55,ESBL,0,2,100
blaCTX-M-3,ESBL,0,1,100
blaCTX-M-55*,ESBL,0,1,100
blaSHV-12,ESBL,0,1,100
blaCTX-M-27,ESBL,7,14,66.67
blaCTX-M-15,ESBL,26,19,42.22
blaCMY-2,ESBL,4,2,33.33
blaACT-115,ampC-like,1,0,0
blaACT-75*,ampC-like,1,0,0
blaCMY-13*,ampC-like,1,0,0
blaCMY-190*,ampC-like,1,0,0
blaCMY-25*,ampC-like,1,0,0
blaCMY-67*,ampC-like,1,0,0
blaEC-15*,ampC-like,1,0,0
blaOXY-1-11,ESBL,1,0,0
blaCMY-65*,ampC-like,2,0,0
blaACT-17,ampC-like,3,0,0
blaACT-24,ampC-like,3,0,0
blaEC,ampC-like,3,0,0
blaEC-5,ampC-like,8,0,0
blaEC-8*,ampC-like,17,0,0
blaEC-5*,ampC-like,39,0,0
